analysis,Age206Pb238Uu,Age206Pb238Uu_sigma,Age206Pb238U,Age206Pb238U_sigma,Age207Pb235Uu,Age207Pb235Uu_sigma,Age207Pb235U,Age207Pb235U_sigma,Age207Pb206Pbu,Age207Pb206Pbu_sigma,Age207Pb206Pb,Age207Pb206Pb_sigma,Discordance,Upg,Th_U,Pbradpg,Pbcpg,r206Pb_238U,r206Pb_238U_2sigma,r207Pb_235U,r207Pb_235U_2sigma,Corr6875
RSES100 z1.18 L1,1116.1534418461,0.8062555018,1116.2348740889,0.8061307568,2380.093131432,1.5553791337,2380.0926786445,1.5553800909,3756.3215535624,1.6680815412,3756.2001568136,1.6683814257,70.2859985246,634.4215861482,0.3172169955,150.4329684524,11.1994614055,0.1890515052,0.0786516456,9.4232019143,0.1694374,0.8563079817
RSES100 z1.18 L2,3977.1134148501,2.0709418576,3977.1643367576,2.0708354275,3988.90686245,1.2807461479,3988.9067696003,1.2807462785,3994.8441762941,1.2125855576,3994.8183778896,1.2126504669,0.4438411278,97.9983457534,0.3801486924,109.4809581069,7.659940191,0.8532810666,0.0697712591,49.8293951562,0.1286656203,0.8270021096
RSES100 z2.18 R,3878.74647742,1.1878335978,3878.7924336624,1.1878316454,3899.2210843009,0.6519364942,3899.2209828769,0.6519365909,3909.7662835623,0.5189774649,3909.7424233762,0.5189853943,0.7933928499,756.2936525348,0.6491932654,842.3326922124,0.7066800377,0.8252147955,0.0407552593,45.5323507145,0.0656160929,0.8927711557
RSES100 z2.18 L1,1305.7958719288,1.0408612651,1305.8724204352,1.040725011,2418.981628679,1.8971214543,2418.9811929051,1.8971224687,3557.8735128951,2.1984300804,3557.7731053063,2.1987238793,63.2984177994,377.1165959298,0.3964391463,104.6587148818,8.8671600726,0.2245500363,0.0880402348,9.8301469297,0.2058447507,0.8199517206
RSES100 z2.18 L2,3682.8855605891,1.7342472385,3682.9369934952,1.7342176692,3721.2126179394,0.9226229421,3721.2124970808,0.9226230836,3741.911102592,0.8911346203,3741.8830532167,0.8911574052,1.5774170039,96.2528812878,0.4649134205,94.4512750488,2.7084186046,0.7705949165,0.0618128082,38.0497364706,0.0932525807,0.7875483271
RSES100 z3.2b R,3273.6665263596,0.9028102227,3273.726234758,0.9027943389,3296.2762548847,0.6022300809,3296.2760712185,0.6022303018,3310.0551902654,0.7094696401,3310.0184307216,0.7094863089,1.0993370749,242.8423220201,0.2559328703,185.1274770048,3.1552052686,0.6616927009,0.0351694025,24.6960552715,0.0617122758,0.6904484463
RSES100 z3.2b L1,579.5626159705,0.6265980218,579.6518162545,0.6263653004,1482.4279559776,2.649737159,1482.4268599049,2.6497409261,3215.3056627012,4.0069698965,3215.0492972495,4.0080906578,81.97488274,963.625142689,0.2975882011,105.0984612225,13.8299725657,0.094085099,0.1129899306,3.3058221402,0.3398991711,0.8318218277
RSES100 z3.2b L2,3126.7789886422,4.0324203184,3126.8394554719,4.0323214704,3229.3078341908,2.574276999,3229.3076380027,2.5742775263,3293.6166203123,2.628674098,3293.5779950373,2.6288005255,5.0654842656,124.7416933254,0.2816588295,90.0328523516,8.39102708,0.624257796,0.1627525973,23.0559803126,0.2645239027,0.794543108
RSES100 z4.6a L1,1160.8701909101,4.4727181511,1160.9532736068,4.4714320776,1279.2810509551,29.5124228673,1279.279712116,29.5124619026,1484.1059370618,70.2490126885,1483.9542722854,70.2535014595,21.7798297332,41.8609737334,0.2492636438,8.2954432868,5.8478190042,0.1973285617,0.4208737356,2.525064114,4.057608478,0.8472523359
RSES100 z4.6a L2,1490.7952063341,4.7061549997,1490.8717605968,4.7051440796,1682.9197133736,21.6167759235,1682.9188136978,21.6167951518,1931.4740799819,41.9494058485,1931.3691242982,41.9517058456,22.8156762866,22.8773285226,0.3262764057,6.2198763674,3.489072624,0.2602013148,0.3534965365,4.2457729173,2.6303535126,0.8363808586
RSES100 z6.13a R,3993.9498269382,2.482262347,3994.004620881,2.482238318,4008.6211222145,0.8570453321,4008.6210311501,0.8570454283,4015.9737093423,0.6171482965,4015.9460824096,0.6171488377,0.5484070365,39.7698801917,0.189336076,43.4128893701,0.6541419537,0.858128813,0.083377449,50.8259206382,0.0860668094,0.8815485428
RSES100 z6.13a L2,3720.2005791953,30.1022641802,3720.2574885591,30.0995262046,3843.5996266022,23.8597244736,3843.5995194673,23.8597269921,3908.5882816165,23.7950708564,3908.5578467853,23.7966351058,4.8198400253,11.0898455556,0.2012784393,10.823001582,15.7148585441,0.780875225,1.064861933,43.0519221357,2.4044064045,0.8612651999
RSES100 z6.13b L1,898.6526865422,1.0218579282,898.7397545432,1.021538121,2257.1843706432,2.4467002473,2257.183859592,2.4467016922,3906.3080378441,2.6566957265,3906.1511047521,2.6574162008,76.9948330281,315.1578240736,0.2334595126,59.6723302632,8.8272144461,0.1496033898,0.1217707481,8.234879119,0.2702247341,0.8603824202
RSES100 z6.13b L2,3895.2470194947,7.4525006281,3895.301783888,7.4523676488,3958.2836608282,3.0599481468,3958.2835651355,3.0599484411,3990.382714093,1.9311321384,3990.3545478451,1.9312413477,2.3841245669,38.2953499928,0.2303907085,40.5267251479,4.6933937086,0.8298951849,0.2549054001,48.3193041405,0.3075958468,0.9114258699
RSES100 z9.14a R,3940.94173731,1.5966197493,3940.9959311843,1.5965831086,3973.7770460937,0.7905974005,3973.7769518501,0.7905974964,3990.3952141578,0.7263627558,3990.3675761089,0.7263846374,1.2393127546,109.4600664798,0.2390715549,117.8204947216,3.6904371221,0.8429121189,0.0541496499,49.0776214687,0.0794485015,0.8003651105
RSES100 z9.14a L1,1386.2304087626,1.0600127741,1386.3240062342,1.0599055185,2707.1569825914,1.4760117443,2707.1566544929,1.4760123671,3926.3393931975,1.422046186,3926.2261728396,1.4222518839,64.6940758314,89.126692334,-0.1757878152,24.8728262946,1.8395692895,0.2399282456,0.0849697074,13.3843848267,0.1562258743,0.8534848173
RSES100 z9.14a L2,3843.4847780696,4.8761309289,3843.5400139402,4.8758387427,3909.761815393,3.1902508936,3909.7617150165,3.1902512153,3943.928829056,3.0321834727,3943.9000545809,3.0323648848,2.5468018146,28.6679843944,0.2289956367,29.539572552,5.3461614729,0.8152607924,0.1684122194,46.0179209119,0.3210194895,0.8375570501
RSES100 z9.14b R,1243.475368898,2.1723974283,1243.5537404257,2.1723718993,1246.4673136433,1.7144468594,1246.4659308307,1.7144514249,1251.6404645423,2.7178063024,1251.5010938064,2.7179345084,0.6523515239,69.7750049785,0.3628725189,15.2076193661,0.2588995038,0.2127691202,0.1920814845,2.4129669011,0.2388229101,0.8135352561
RSES100 z9.14b L2,1221.4049483596,7.2095534633,1221.4841211956,7.2078467494,1252.2142418228,47.1830384395,1252.2128668146,47.1831024139,1305.5782682369,117.7767190425,1305.4363869349,117.7833326647,6.4472059566,11.4033737075,0.3463688329,2.4317707445,2.4312838198,0.208624244,0.6477596095,2.4323386187,6.5572640796,0.7802087664
RSES100 z9.14bg R,4138.1446955172,1.8589819751,4138.1906236039,1.8589612676,4162.8377892411,0.7819252159,4162.8377110084,0.7819252918,4174.7808138304,0.6115143946,4174.7584449776,0.6115191195,0.8775578874,219.9286794219,0.5622535859,276.2729100781,3.6116305926,0.9001575817,0.0608727905,59.3264543432,0.078305949,0.8527098832
RSES100 z9.14bg L2,4109.307807614,4.3249396844,4109.3506691822,4.3247102453,4144.3351508467,2.4771133085,4144.3350711755,2.477113508,4161.3614411,2.1766448762,4161.3404356105,2.1767651723,1.2508798917,68.9254497847,0.7209844886,87.7005274222,12.2487917899,0.8916756481,0.1423241428,58.2371213287,0.2481475792,0.852612587
RSES100 z9.14c R,4088.103881956,1.6075215904,4088.1512525271,1.6075123365,4120.2156089524,0.658011405,4120.215527366,0.6580114782,4135.9088657849,0.5271167693,4135.8855399464,0.5271200491,1.1558519634,173.3734878234,0.5098183086,210.8764655567,0.4615151809,0.8854649778,0.0530986146,56.8465758723,0.0659442457,0.8431529737
RSES100 z9.14c L1,391.4839348708,1.1195129914,391.5750327621,1.1185868178,1377.349382686,5.9943571297,1377.3481671073,5.994364799,3635.0935428036,8.5893300316,3634.7239285545,8.5941742509,89.2304302417,1452.1798893301,0.3178382306,112.1978006952,45.0674096219,0.062625866,0.2944273363,2.8825080226,0.7951610447,0.862529272
RSES100 z9.14c L2,3919.7731681406,7.4323773761,3919.8242918756,7.4318135386,3924.0688614324,5.374200943,3924.0687624603,5.3742014705,3926.2649119854,5.2723202565,3926.2386184038,5.2726392195,0.165341463,44.4312434654,0.3920714785,48.1838056487,15.0925143342,0.836869462,0.2530446578,46.6851067038,0.5406154284,0.8518037382
RSES100 z9.14dg R,4079.0770505111,2.3484781268,4079.1264669573,2.3484570161,4126.5678709153,0.892558359,4126.5677898377,0.892558445,4149.7688127456,0.6143355516,4149.7444668174,0.6143423736,1.7035108563,34.9538174664,0.4142509502,41.8559346447,0.6131837125,0.8828272305,0.0776960894,57.2095998972,0.0894401371,0.8862459435
RSES100 z9.14dg L1,586.319934285,0.9053768256,586.4102364344,0.9049818881,1731.4967148169,3.2448638889,1731.4958571692,3.2448670831,3676.0995887568,4.1315941259,3675.8520432558,4.1331055289,84.0504882926,528.0025292857,0.2640195149,61.6589383184,11.9729081924,0.0952327392,0.1614514029,4.502836546,0.3905417174,0.8349975519
RSES100 z15.2 R,4055.0492687074,1.2495416612,4055.0971060747,1.249536406,4066.9565815932,0.5589915459,4066.9564956131,0.5589916197,4072.840219355,0.5360784591,4072.8164329257,0.5360815616,0.4368192634,313.4237131857,0.4990789531,371.8919025568,0.5992803106,0.8758219535,0.0415151389,53.8905995197,0.0560738461,0.7669384911
RSES100 z15.2 L1,337.1447112724,0.4602057175,337.2338793354,0.4598288626,1344.6781841314,2.4992366685,1344.6769288039,2.4992410194,3802.7000995345,3.4084602435,3802.2866565553,3.4109318112,91.1340704645,864.6707184821,0.3908147498,59.7838045019,10.3774431284,0.053705928,0.1399507467,2.7595718203,0.335331934,0.8658504328
RSES100 z15.2 L2,3992.2985426688,3.4205166725,3992.3463285115,3.420375552,4023.4719206445,1.8762827438,4023.4718309023,1.8762829182,4039.0581307479,1.6534608723,4039.0340483656,1.6535479198,1.1576854446,49.2549333276,0.5238222067,57.1151478735,5.5135062234,0.8576508845,0.1149235802,51.5894869904,0.1883675716,0.840713755
RSES100 z16.2a R,3377.6715078601,2.2729956973,3377.7272378662,2.2729728459,3381.9330624972,1.0005680382,3381.9328936894,1.0005682615,3384.4589004546,0.7439001435,3384.4255877681,0.7439154433,0.2005458714,59.7502313059,0.3868244871,49.1034256533,0.7523621355,0.6887184671,0.0864552889,26.9578106216,0.1021963424,0.8851423485
RSES100 z16.2a L1,894.6434477494,0.8743959693,894.7202884309,0.8742971889,1867.5777072818,2.0938603551,1867.5769572062,2.0938624393,3233.3913709082,2.7400437522,3233.2449216838,2.7405290199,72.3311116681,2120.8043135733,0.5363446336,386.3983353934,32.4421818293,0.1488868128,0.1046554592,5.2920263076,0.2451809768,0.7963761213
RSES100 z16.2a L2,3570.4852487801,1.52634743,3570.5348326945,1.5262635893,3411.5682605584,1.5029019509,3411.5680966062,1.5029022293,3319.5235573786,1.7929480074,3319.4949627723,1.7930206948,-7.5601720266,201.2714799894,0.5877700406,182.8915457456,11.0799536166,0.7399763553,0.0556750606,27.7858227816,0.1533402346,0.791438876
RSES100 z16.2b R,3897.8020348077,1.5225654361,3897.8500921641,1.5225572928,3937.6555150878,0.6833814309,3937.6554174311,0.6833815246,3958.0165943963,0.6153523264,3957.9918193647,0.6153547543,1.5213316608,198.8511553034,0.5441999852,220.8928657442,0.4460095681,0.8306186971,0.0520537029,47.3274604219,0.0687248967,0.8032956266
RSES100 z16.2b L2,3630.4391705584,7.6487337234,3630.4921660759,7.6484030159,3728.490054256,4.8298277415,3728.4899342606,4.8298283182,3781.6019330774,4.5800634631,3781.5728075341,4.5803335972,3.9973208496,11.4604596701,0.4134650223,11.0093828913,2.6284797273,0.7562486708,0.2755332043,38.3306184814,0.4880751897,0.8285326132
RSES100 z17.1 R,3279.3963710457,1.5001865844,3279.4559910069,1.5001746665,3299.1513242524,0.6883172468,3299.1511411055,0.6883174685,3311.1765541766,0.593566783,3311.139901491,0.5935724873,0.9597852187,364.718672611,0.2574421102,278.7792240556,0.9954898473,0.6631703172,0.0583626856,24.7689170811,0.0705258013,0.8437918111
RSES100 z17.1 L1,528.2433322391,0.6147082019,528.333434104,0.6144487194,1414.0704654654,2.801286446,1414.0692930625,2.8012906619,3228.1569816272,4.339023856,3227.8742941924,4.3403748603,83.6363802862,1040.3209268655,0.292338135,103.0533465385,14.9342385349,0.085409922,0.1211303298,3.02548799,0.3670720902,0.8291495701
RSES100 z17.1 L2,3137.5497016544,2.122438698,3137.6101461085,2.1223893971,3237.7891326598,1.375838146,3237.7889381037,1.3758384646,3300.4773160809,1.4488908857,3300.4388302478,1.4489505474,4.9364864177,125.489502462,0.2783811214,90.9829923917,4.288332419,0.6269738798,0.085435427,23.2577568343,0.1413254409,0.7761172622
RSES100 z17.16 R,3458.8646923867,0.8674503237,3458.9176604716,0.8674507999,3467.4005734655,0.4712670463,3467.4004182852,0.4712672205,3472.3355350677,0.5317773315,3472.3046443134,0.5317828591,0.3879476089,721.6147963791,0.4773489004,629.1744551859,0.4541649815,0.7101218103,0.0324056577,29.4129742513,0.0479907209,0.6990418573
RSES100 z17.16 L1,776.3733422443,3.569420496,776.455115726,3.5693523269,1829.5783405053,4.4771274222,1829.5775618273,4.4771311265,3400.2772983963,2.4574437139,3400.1018076825,2.4579674747,77.1673521271,1821.6107790274,0.4348215882,285.0646301304,23.8956391059,0.1280016319,0.4879388908,5.0609070177,0.528055009,0.9547624817
RSES100 z17.16 L2,3468.2364642829,1.1214203493,3468.2891085493,1.1214123798,3468.4490992449,0.5996206262,3468.4489442247,0.5996207979,3468.5719053282,0.6800607028,3468.541255964,0.680072484,0.009670869,323.9789759049,0.4881899476,283.8796487579,3.9104374723,0.7126097008,0.0418074626,29.4443961495,0.0610592534,0.6951328787
RSES60 z7.7 R,3912.6188024944,1.7940084243,3912.6740941108,1.7939940194,3959.1847808948,0.692920318,3959.184685287,0.6929204097,3982.8614516558,0.6231194084,3982.8330941168,0.6231186859,1.7636227123,1051.5709253408,0.1986520103,1111.6035407928,0.5573983866,0.8348331829,0.0611645336,48.3630928814,0.0696533067,0.8050201851
RSES60 z7.7 L1,2186.9081403542,1.2970311348,2186.9782612722,1.2969823148,3116.2281197254,1.2055939244,3116.2279004254,1.2055942646,3785.2481079529,1.1151712084,3785.1904623053,1.1152466836,42.2255007338,357.1914628136,0.2757855408,179.6568639485,7.1506746168,0.4039012983,0.0699321975,20.5207384164,0.1245189491,0.8601750396
RSES60 z7.7 L2,3805.139404384,3.2030551062,3805.1955070369,3.2027897572,3873.5917240213,2.4452802336,3873.5916200046,2.445280493,3909.2094892262,2.4488807243,3909.179981522,2.4490311897,2.6621772286,146.9708719582,0.2041373337,147.8387654938,21.631634838,0.8044953226,0.1114403488,44.3725232449,0.2462507596,0.8477195106
RSES60 z7.19a R,3973.6910742198,1.1415010864,3973.7417674738,1.1414927231,4024.5246350174,0.5840317195,4024.5245453682,0.5840317986,4049.971825887,0.5549907426,4049.9462175234,0.5549956145,1.8834884524,185.185142656,0.392293109,209.2449661584,1.5208101761,0.8522973726,0.0384834946,51.6440382477,0.0586321183,0.7827442361
RSES60 z7.19a L1,285.4982536018,0.3223004987,285.5952831823,0.3219993889,1129.7327393491,2.0661782054,1129.7311880609,2.0661836915,3603.5524254846,3.2617994694,3603.0159229877,3.2642198661,92.0773109451,802.4559989907,0.1993263127,43.4665150671,6.3592827221,0.0452989994,0.1152626944,2.0423059394,0.3031245446,0.8573873056
RSES60 z7.19a L2,3759.176395555,4.2018688134,3759.2302613631,4.2015723252,3879.0369173293,2.9568168834,3879.036813869,2.956817192,3941.5739395987,2.872798175,3941.5454080119,2.8729778051,4.6275306981,31.3506754354,0.3253436698,31.8996939395,5.4743550118,0.7916743869,0.1475047919,44.6164960296,0.2977289231,0.8395405227
RSES60 z7.19b R,4014.6361271413,1.6934368606,4014.6864764116,1.6934242243,4037.9136807077,0.7144915053,4037.9135922328,0.7144915895,4049.5050363902,0.5683020657,4049.4797885379,0.5683049453,0.8610659559,286.7084797775,0.3933935213,328.4226493201,0.332916102,0.8640997703,0.0566699495,52.3428101616,0.0717110475,0.8489909002
RSES60 z7.19b L1,284.7948008433,0.4820067244,284.8915942652,0.4814890131,1131.6885230372,3.1822324269,1131.6869747342,3.182238786,3611.8198739694,5.0645606948,3611.2837032273,5.0684300846,92.1149223721,2169.1483147875,0.2059391838,117.5271802466,27.5565824984,0.045184901,0.1727698546,2.048171544,0.4664186745,0.8572291387
RSES60 z7.19b L2,3740.7323834319,4.3113129844,3740.7863928817,4.3111699684,3867.5627347189,2.2621745704,3867.5626300828,2.2621748132,3933.9674999689,1.9207655366,3933.9387739156,1.9208798127,4.9119652498,16.5991776297,0.3258336202,16.7598472872,1.8661613575,0.7865555444,0.1519022008,44.1039152887,0.2278417719,0.8467752086
RSES60 z7.19c R,3989.4825218467,12.5112595723,3989.5324621398,12.5111542651,4018.0325649921,4.4097440367,4018.0324747679,4.4097444323,4032.3230207708,1.1937885505,4032.2978349429,1.1938011892,1.0624272585,303.6408735637,0.4222380289,345.4645787911,3.8366339332,0.856840195,0.4205850884,51.3085209762,0.4427580382,0.9841333133
RSES60 z7.19c L1,308.7660190285,0.3037022299,308.8629852822,0.3035158016,1174.7233088089,1.6703328652,1174.7218247562,1.6703379436,3580.7377735357,2.5603266909,3580.2402969525,2.5619576158,91.3770279044,605.8900793575,0.1916259418,35.369985736,3.8171404792,0.0490787211,0.1006416947,2.1801386266,0.2399586325,0.8264808705
RSES60 z7.19c L2,3751.7286577694,6.6102725354,3751.7822928493,6.6098109166,3858.672593352,4.7060384212,3858.6724877957,4.7060389152,3914.7027918328,4.5755007861,3914.6742893021,4.5757856824,4.1631291756,23.6132923797,0.338788788,23.9043077804,6.4234042614,0.7896055424,0.2323902797,43.7107336685,0.4740774561,0.8444598014
RSES60 z7.19d R,4026.7299278921,1.8273568783,4026.7804602637,1.8273402392,4055.3884980606,0.738748321,4055.3884110954,0.7387484047,4069.605771193,0.6119126266,4069.5805193112,0.6119173076,1.0535625737,59.4546199053,0.3801059788,68.4916844122,0.7019298963,0.8676002517,0.0610190535,53.2687891734,0.0741214577,0.8322231152
RSES60 z7.19d L1,312.8887328209,0.2143547068,312.9870067708,0.214283429,1147.9626018431,1.074605941,1147.9610781578,1.0746118744,3500.1858563063,1.68424197,3499.6851632448,1.6850545759,91.0607966072,405.6887232934,0.1547577034,23.5172280443,1.3142747462,0.0497500723,0.070139486,2.0974198789,0.1562918838,0.7964603624
RSES60 z7.19d L2,3626.5394495686,21.8914342541,3626.5946959161,21.8894460835,3845.0215870923,16.9696466818,3845.0214801074,16.9696484712,3960.9510028565,16.5819021025,3960.9209899412,16.5830510364,8.4427086588,12.4586278011,0.3136080575,12.1161598855,12.5334685092,0.7551871725,0.7891969499,43.1136564544,1.7100197845,0.8605239261
RSES60 z9.11 L1,2229.379224056,13.3625564037,2229.4391593805,13.3621447346,3256.9398164311,8.680381896,3256.93962551,8.6803835365,3969.280349742,5.9300441127,3969.23242275,5.9306971092,43.8341707408,14.8795785822,0.6281868966,8.4418119222,2.8606580601,0.413178962,0.7089521588,23.7196133227,0.8909289516,0.9021199528
RSES60 z10.19 R,3971.0204154226,1.0924367613,3971.0701096909,1.092419933,3993.0337712787,0.5884389164,3993.0336788056,0.5884389991,4004.1136599997,0.5891573579,4004.0884672674,0.5891685893,0.8264811488,1486.0686674698,0.4407183442,1676.7251461528,30.0441730604,0.8515298638,0.0368470097,50.036405866,0.0591106198,0.7571124725
RSES60 z10.19 L1,1489.5169563588,0.9316568132,1489.5874775515,0.9315608629,2594.1538348475,1.5196966593,2594.153468125,1.5196973852,3622.5380031519,1.6553586967,3622.4561538995,1.6555643942,58.881950857,681.2311627822,0.5216778993,226.4535359746,14.3500907862,0.259950277,0.0700416149,11.8693954006,0.1622769185,0.8607227987
RSES60 z10.19 L2,4003.3213015561,2.0631569245,4003.3700083821,2.0631072919,3918.0121458851,1.0620935144,3918.0120463209,1.0620936372,3874.6300521976,0.9298243723,3874.6052904364,0.9298595374,-3.3213815932,145.2790953072,0.4759824878,162.8567737833,6.8341737121,0.8608162153,0.069184228,46.4015183968,0.1068545224,0.8384365573
RSES60 z16.1 R,3982.0703283285,2.2644431324,3982.1190563451,2.2644235271,4001.080587034,0.87053674,4001.0804952908,0.870536838,4010.6281448375,0.5742988099,4010.6034994742,0.5743074677,0.7120534609,718.0931417569,0.4826233586,819.8986035713,11.6703255115,0.8547060476,0.0762250581,50.4424715383,0.0874344759,0.8985820015
RSES60 z16.1 L1,1224.5111988737,1.2476932628,1224.5854822576,1.2476236808,2519.7719134678,1.6485689948,2519.7715188726,1.6485698244,3831.7492569437,1.5413084387,3831.6479758128,1.541533558,68.0430237794,532.7180549509,0.4967882848,146.7121985479,8.968442412,0.2092058513,0.1118643792,10.9603496179,0.1771727404,0.8450203739
RSES60 z16.1 L2,3889.175509762,2.7718245419,3889.223553128,2.7716550199,3931.7746660529,1.8584612119,3931.774567829,1.8584614021,3953.5748743855,1.7896864884,3953.5500590542,1.7897889683,1.6288894651,99.7473087227,0.5478724819,110.4629074416,11.2774236441,0.8281706164,0.0949112898,47.0483686202,0.1869208351,0.8370018441
RSES60 z16.16c L1,1132.9934725779,0.7552608557,1133.0586288335,0.7552412881,2226.537265332,1.3960845571,2226.5367386208,1.3960856788,3472.6298971671,1.5978802235,3472.5318756518,1.5981418601,67.3736186657,600.3786483978,0.8082608982,153.4184562659,7.3791482255,0.1921587267,0.0726844467,7.9603089465,0.1547658802,0.8261646938
RSES60 z16.16c L2,3943.7841340426,4.3220381475,3943.8303479333,4.3217548869,3963.0269301616,2.9231286674,3963.0268349149,2.9231289478,3972.7813896693,2.8014454796,3972.7577855649,2.801606713,0.7298980936,57.1859158303,0.6152034596,65.4433477421,10.6337154924,0.8437226051,0.1465000665,48.5502337571,0.2938139727,0.8455534055
RSES60 z18.11 R,3836.2226235089,3.0343953965,3836.2754202051,3.0343623676,3864.7377955069,1.6875867605,3864.7376905793,1.6875869479,3879.5616366879,1.4388016256,3879.5339693429,1.4388082772,1.1171110872,1652.3654554674,0.3452965996,1713.4348731078,11.5082211643,0.8132162907,0.1049524981,43.9786042039,0.1699811564,0.8628203323
RSES60 z18.11 L1,1228.2708693877,0.7512472439,1228.3498421987,0.7512358996,2420.8047174503,1.0101596186,2420.8042824581,1.0101604259,3664.290299778,0.8790934606,3664.181687645,0.8791744047,66.4799792347,1251.3855086919,0.3499597169,326.7648309842,4.5492900943,0.2099121689,0.0671698467,9.8496095979,0.1095861158,0.8973081231
RSES60 z18.11 L2,3738.6205591697,1.811377354,3738.6734872191,1.8113253992,3774.1172387334,1.0709497239,3774.1171240107,1.0709498695,3793.016783488,1.0025803013,3792.9883467589,1.002620371,1.4341150441,482.7023081358,0.3761668192,479.4240684571,20.8170704984,0.7859700709,0.0638478738,40.1382871864,0.1081002258,0.8244969777
RSES59 z2.9a R,4001.2714835031,1.507502877,4001.3143870143,1.5075013918,4003.2348339207,0.6197950159,4003.2347423719,0.6197950988,4004.2191178573,0.5059626489,4004.197468574,0.5059706941,0.0736132131,401.980757195,0.7535359952,482.116975829,1.047615754,0.8602369913,0.0505696187,50.5517282717,0.0622480066,0.8396501431
RSES59 z2.9a L1,841.8777484165,1.1355106429,841.9607332775,1.1354393175,2015.9802303316,2.0065752191,2015.9795822481,2.0065769185,3601.1931431096,2.0587862807,3601.0306568071,2.0591942177,76.6222550427,605.0605166231,0.3752701654,104.7412615762,7.8331111998,0.1395223219,0.1438549681,6.2822326041,0.2290743357,0.8369942488
